name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;204;0;664;3079;999;3079;999;0
header;207;127;207;168;1837;168;1837;127
B;674;459;674;484;693;484;693;459
A;700;459;700;483;706;483;706;459
A;713;478;713;483;718;483;718;478
A;501;559;501;564;505;564;505;559
A;501;572;501;583;506;583;506;572
B;774;694;774;709;783;709;783;694
B;658;864;658;890;675;890;675;864
A;905;1020;905;1031;912;1031;912;1020
A;612;1295;612;1300;617;1300;617;1295
B;937;1785;937;1802;950;1802;950;1785
A;897;2080;897;2108;901;2108;901;2080
A;667;2557;667;2562;674;2562;674;2557
A;785;2693;785;2713;789;2713;789;2693
A;993;2707;993;2713;999;2713;999;2707
B;667;2802;667;2818;679;2818;679;2802
