name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;995;0;972;3075;1819;3075;1819;0
header;209;105;209;143;1822;143;1822;105
A;1382;66;1382;74;1387;74;1387;66
A;1004;171;1004;198;1025;198;1025;171
A;1206;267;1206;274;1212;274;1212;267
A;1564;307;1564;332;1578;332;1578;307
B;1312;802;1312;829;1352;829;1352;802
B;1004;836;1004;862;1024;862;1024;836
A;1658;856;1658;861;1664;861;1664;856
A;1442;1488;1442;1495;1448;1495;1448;1488
C;998;1493;998;1524;1020;1524;1020;1493
A;1701;1536;1701;1542;1707;1542;1707;1536
A;1379;1803;1379;1809;1385;1809;1385;1803
D;996;2161;996;2188;1018;2188;1018;2161
A;1713;2212;1713;2217;1719;2217;1719;2212
A;1715;2301;1715;2306;1719;2306;1719;2301
A;1530;2359;1530;2366;1536;2366;1536;2359
A;1735;2498;1735;2508;1742;2508;1742;2498
A;1007;2609;1007;2611;1009;2611;1009;2609
